Station Display Name,Access Category,Port 1: Voltage (V),Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,No. of Ports,EVSE Latitude and Longitude,New Georeferenced Column
PIE AE / PUB ACC NRIDGE2,Education,40A,AUSTIN ENERGY,Campus Dr,,,Austin,Texas,78758,2,30.40429,"(30.40429, -97.705587)"
AUSTIN / 400 - 1,Workplace,40A,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,2,30.265028,"(30.265028, -97.748448)"
4THANDCHARGE / STATION2,Multifamily Commercial,40A,Fourth& Master Condominium Community,1806 E 4th St,,,Austin,Texas,78702,2,30.260364,"(30.260364, -97.723785)"
INT-BIO EV CHGR / INTBIO EV CHGR1,Workplace,40A,INTERNATIONAL BIOMEDICAL,8206 Cross Park Dr,,,Austin,Texas,78754,2,30.33089,"(30.33089, -97.668908)"
DEVLOPER / TRAMMELL CROW 6,Workplace,40A,Trammell Crow- Austin,500 W 2nd St,,,Austin,Texas,78701,2,30.265909,"(30.265909, -97.748953)"
GOODHEALTH / STATION 1,Healthcare,40A,GoodHealth Solutions Center,7800 Metropolis Dr,,,Austin,Texas,78744,2,30.206445,"(30.206445, -97.693581)"
IXIA-AUSTIN1 / IXIA AUSTIN,Workplace,40A,Ixia Austin,8310 N Capital of Texas Hwy,,4,Austin,Texas,78731,2,30.386814,"(30.386814, -97.768734)"
COA FLEET - PIE / TOOMEY #2,Fleet,40A,US City of Austin Texas,1501-1615 Toomey Rd,,,Austin,Texas,78704,2,30.263716,"(30.263716, -97.759239)"
PIE AE / PUBACCHIGHLAND1,Education,40A,AUSTIN ENERGY,5930 Middle Fiskville Rd,,,Austin,Texas,78752,2,30.322654,"(30.322654, -97.712743)"
ROSCOE PROPERTI / CURRENT MAIN,Multifamily Commercial,40A,Roscoe Properties,2057-2105 Willow Creek Dr,,,Austin,Texas,78741,2,30.231758,"(30.231758, -97.729473)"
COA FLEET - PIE / FLOOR4,Fleet,40A,US City of Austin Texas,900 N Interstate 35,,,Austin,Texas,78701,2,30.269112,"(30.269112, -97.734062)"
SCHOOL / LANIER1,Education,40A,Austin Independent School District,1201 Payton gin rd.,,,Austin,Texas,78758,2,30.360173,"(30.360173, -97.709582)"
PIE AE / CTECC EVSE1,Workplace,40A,AUSTIN ENERGY,5010 Old Manor Rd,,,Austin,Texas,78723,2,30.29914,"(30.29914, -97.692227)"
1801 E 6TH / AUSTIN 1801 1,Parking,40A,Riverside Resources Corp,1805 E 6th St,,B1,Austin,Texas,78702,2,30.261687,"(30.261687, -97.723468)"
PIE AE / NWRECCENTER 4,Municipal,40A,AUSTIN ENERGY,2913 Northland Dr,,,Austin,Texas,78757,2,30.333969,"(30.333969, -97.751358)"
PIE AE / PUBLOSTPARROTS1,Hospitality,40A,AUSTIN ENERGY,15116 Storm Dr,,,Austin,Texas,78734,2,30.382643,"(30.382643, -97.933861)"
DOMAIN / STATION 2,Parking,40A,Domain Junction,11601 Alterra Parkway,,,Austin,Texas,78758,2,30.402314,"(30.402314, -97.718842)"
ENDEAVOR REG / RED GARAGE #2,Parking,40A,Endeavor Real Estate Group,11501 Domain Dr,,,Austin,Texas,78758,2,30.402165,"(30.402165, -97.723231)"
LEASING OFFICE / STATION 1,Multifamily Commercial,40A,Ocotillo Apartments,8000 US-290,,,Austin,Texas,78737,2,30.231128,"(30.231128000000002, -97.889867)"
AXO GROUP LLC / AUSTIN CHARGE,Workplace,40A,AXO Group LLC,601-699 Brushy St,,,Austin,Texas,78702,2,30.266047,"(30.266047, -97.733139)"
PIE AE / PUBGABLES 5TH 1,Multifamily Commercial,40A,AUSTIN ENERGY,1611 W 5th St,,L1,Austin,Texas,78703,2,30.274209,"(30.274209, -97.764758)"
PIE AE / PUB M STATION 1,Parking,40A,AUSTIN ENERGY,2901 E 16th St,,,Austin,Texas,78702,2,30.278956,"(30.278956, -97.708847)"
PIE AE / CITY HALL STAT2,Parking,40A,AUSTIN ENERGY,400 W 2nd St,,P2,Austin,Texas,78701,2,30.264945,"(30.264945, -97.747)"
HANOVER / L5,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L5,Austin,Texas,78701,1,30.265299,"(30.265299, -97.749118)"
AUSTIN / 400 - 3,Workplace,40A,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,2,30.26505,"(30.26505, -97.74849)"
NATIONAL INSTRU / 5&6,Workplace,40A,National Instruments,11500 N Mopac Expy,,2nd,Austin,Texas,78759,2,30.408705,"(30.408705, -97.725377)"
DSMCUT / EVSE01 FLOOR L7,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,7,Austin,Texas,78701,2,30.275261,"(30.275261, -97.73458)"
RPP GARAGE / GARAGE GW,Workplace,40A,Research Park Plaza,12455 Research Park Loop,,,Austin,Texas,78727,2,30.429363,"(30.429363, -97.755248)"
PIE AE / PUB-STDAVIDSST1,Healthcare,40A,AUSTIN ENERGY,710 Trinity St,,,Austin,Texas,78701,2,30.268719,"(30.268719, -97.738899)"
PIE AE / ZILKER PARK PH1,Parks and Recreation,40A,AUSTIN ENERGY,2100 Barton Spring Rd,,,Austin,Texas,78704,2,30.26434,"(30.26434, -97.772819)"
COA FLEET - PIE / RUTHERFORD #9,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335875,"(30.335875, -97.679382)"
HAWTHORNE / STATION 1,Multifamily Commercial,40A,Hawthorne at the District,2239 Cromwell Cir,,,Austin,Texas,78741,2,30.227434,"(30.227434, -97.71854)"
RIO GRANDE GAR1 / AUSTIN CC AE 1,Education,,Austin Community College (AE),824 W 12th St,,,Austin,Texas,78701,2,30.276433,"(30.276433, -97.749429)"
COA / NEWCENTRALLIB1,Municipal,40A,City of Austin Library,710 W Cesar Chavez St,,P1,Austin,Texas,78701,2,30.266102,"(30.266102, -97.751667)"
WEINSTEIN / ANDERSON 1,Multifamily Commercial,40A,Weinstein Properties,8601 Anderson Mill Rd,,,Austin,Texas,78729,2,30.455107,"(30.455107, -97.768221)"
GARAGE 1 / GARAGE ONE,Multifamily Commercial,40A,SUR512,5010 S Congress Ave,,1,Austin,Texas,78745,2,30.211727,"(30.211727, -97.772285)"
PALOMA RIDGE / PALOMA1B,Workplace,40A,"Ascentris-116B, LLC",13620 Ranch Rd 620 N,,,Austin,Texas,78717,2,30.477229,"(30.477229, -97.777396)"
COA FLEET - PIE / ROOF2,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268908,"(30.268908, -97.734749)"
PIE AE / PALMER STATION3,Municipal,40A,AUSTIN ENERGY,736-820 Barton Springs Rd,,L2,Austin,Texas,78704,2,30.259236,"(30.259236, -97.751809)"
ENCINO STATIONS / STATION 2,Workplace,40A,"ATX Office Owner 2, LP",5707 Southwest Pkwy,,,Austin,Texas,78735,2,30.243719,"(30.243719, -97.845686)"
AISD PAC / AISD PAC #2,Education,40A,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,2,30.30538,"(30.30538, -97.702537)"
PIE AE / PUBACCPINNACLE2,Education,40A,AUSTIN ENERGY,7748 Hwy 290 W,,,Austin,Texas,78736,2,30.23143,"(30.23143, -97.883171)"
RAINEY STREET / MILLENNIUM 02,Multifamily Commercial,40A,THE MILLENNIUM RAINEY,92 Rainey St,,3,Austin,Texas,78701,2,30.260538,"(30.260538, -97.738296)"
TIG REAL ESTATE / PIE-STATION 1,Workplace,40A,"TIG REAL ESTATE SERVICES, INC.",Frontage Rd,,,Austin,Texas,78746,2,30.265768,"(30.265768, -97.779681)"
CATHERINE / CATHERINE 2,Multifamily Commercial,40A,The Catherine,300 Barton Springs Rd,,3,Austin,Texas,78704,2,30.259099,"(30.259099, -97.747754)"
THE SANTAL / SANTAL1,Multifamily Commercial,40A,The Santal,7624 Tecoma Circle,,,Austin,Texas,78735,2,30.259641,"(30.259641, -97.859784)"
7700 PARMER / 7700 PARMER,Workplace,40A,7700 Parmer,7700 W Parmer Ln,,,Austin,Texas,78729,2,30.460477,"(30.460477, -97.750024)"
ENDEAVOR REG / PALM WAY #1,Parking,40A,Endeavor Real Estate Group,Palm Way,,L1,Austin,Texas,78758,2,30.403636,"(30.403636, -97.719927)"
ENDEAVOR REG / BLUE GARAGE #4,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403822,"(30.403822, -97.722477)"
BRANDYWINE AUST / FOUR POINTS 2,Multifamily Commercial,40A,Brandywine Properties I Limited Inc.,11120 4 Points Dr,,,Austin,Texas,78726,2,30.405365,"(30.405365, -97.848098)"
PIE AE / PALMER STATION7,Parking,40A,AUSTIN ENERGY,846-888 Barton Springs Rd,,,Austin,Texas,78704,2,30.259966,"(30.259966, -97.752658)"
PIE AE / PUB LOCKHART 1,Retail,40A,AUSTIN ENERGY,319 W Slaughter Ln,,,Austin,Texas,78748,2,30.168498,"(30.168498, -97.795821)"
ST. ED'S / GARAGE STATION1,Education,40A,St. Edwards University,578-680 Woodward St,,,Austin,Texas,78704,2,30.226907,"(30.226907, -97.751966)"
HPI 3700 / 3900 SC 3,Workplace,40A,HPI Real Estate Company,3900 N Capital of Texas Hwy,,,Austin,Texas,78746,2,30.337931,"(30.337931, -97.807977)"
PIE AE / VILLATGRACYFARM,Multifamily Commercial,40A,AUSTIN ENERGY,2600 Gracy Farms Ln,,,Austin,Texas,78758,2,30.405175,"(30.405175, -97.711583)"
PIE AE / HOWSONBRCHLIBR1,Parking,40A,AUSTIN ENERGY,2704 Bowman Ave,,,Austin,Texas,78703,2,30.298412,"(30.298412, -97.767959)"
YETI RAMBLERS / EVSE #2,Workplace,40A,Yeti Coolers,7601 Southwest Pkwy,,B1 ml,Austin,Texas,78735,2,30.255806,"(30.255806, -97.872517)"
PIE AE / ANIMAL SERVICE3,Municipal,40A,AUSTIN ENERGY,7201 Levander Loop,,,Austin,Texas,78721,2,30.251538,"(30.251538, -97.690807)"
SAS / SAMSUNG 4,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377514,"(30.377514, -97.639643)"
OPHTHALMOLOGY / AUSTIN EYE STA1,Workplace,40A,Austin Eye,1009 E 40th St,,,Austin,Texas,78751,2,30.296713,"(30.296713, -97.719788)"
BUILDING 7 EVCS / STATION1,Multifamily Commercial,40A,Verandas at Uptown,909 Reinli St,,,Austin,Texas,78751,2,30.318426,"(30.318426, -97.71069)"
FLATIRON DOMAIN / FLATIRON DOM 1,Multifamily Commercial,30A,Flatiron Domain Apartments,10727 Domain Dr,,,Austin,Texas,78758,2,30.393731,"(30.393731, -97.725579)"
DSMCUT / EVSE05 FLOOR L3,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,3,Austin,Texas,78701,2,30.275245,"(30.275245, -97.734566)"
COA FLEET - PIE / ROOF5,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268883,"(30.268883, -97.734665)"
PIE AE / PUBDITTMAR1,Parks and Recreation,40A,AUSTIN ENERGY,1007 W Dittmar Rd,,,Austin,Texas,78745,2,30.185301,"(30.185301, -97.801234)"
PIE AE / MACC STATION 2,Municipal,40A,AUSTIN ENERGY,600 River St,,,Austin,Texas,78701,2,30.25848,"(30.25848, -97.73948)"
PIE AE / 2201 E 6TH ST,Healthcare,40A,AUSTIN ENERGY,2201 E 6th St,,,Austin,Texas,78702,2,30.259958,"(30.259958, -97.718567)"
120 ENTRANCE / ACH MAIN,Hospitality,40A,Austin City Hotel,Best Western PLUS Austin CIty Hotel,2200 S. Interstate 35,,Austin,Texas,78704,2,30.235856,"(30.235856, -97.741577)"
HIDAUSTIN / STATION 1,Workplace,40A,HID Global- Austin,611 Center Ridge Dr,,,Austin,Texas,78753,2,30.414119,"(30.414119, -97.667009)"
COA / DOA - CONRAC1,Municipal,30A,City of Austin Dept. of Aviation,3819 Presidential Blvd,,1,Austin,Texas,78719,2,30.204711,"(30.204711, -97.666322)"
COA / NEWCENTRALLIB4,Municipal,40A,City of Austin Library,710 W Cesar Chavez St,,P1,Austin,Texas,78701,2,30.266132,"(30.266132, -97.751803)"
PIE AE / PUB ACC EVIEW1,Education,40A,AUSTIN ENERGY,3401 Webberville Rd,,,Austin,Texas,78702,2,30.268116,"(30.268116, -97.706104)"
CZPROPERTIES / FLOOR 3 UNIT 2,Workplace,40A,"CZ Properties, LLC",1400 Lavaca St,,3,Austin,Texas,78701,2,30.276966,"(30.276966, -97.742726)"
PIE AE / HEB 6EA1,Retail,40A,AUSTIN ENERGY,1000 E 41st St,,,Austin,Texas,78751,2,30.29923,"(30.29923, -97.721107)"
AMD GO GREEN / P100 FL4 INNER,Workplace,40A,AMD,7171 Southwest Pkwy,,4,Austin,Texas,78735,2,30.251073,"(30.251073, -97.863136)"
RPP GARAGE / GARAGE 2,Workplace,40A,Research Park Plaza,12455 Research Park Loop,,,Austin,Texas,78727,2,30.429442,"(30.429442, -97.755212)"
PIE AE / PALMER STATION4,Parking,40A,AUSTIN ENERGY,900 Barton Springs Rd,,,Austin,Texas,78704,2,30.259888,"(30.259888, -97.752644)"
NATIONAL INSTRU / 13&14;,Workplace,40A,National Instruments,11500 N Mopac Expy,,1st,Austin,Texas,78759,2,30.408775,"(30.408775, -97.725228)"
HANOVER / L2,Multifamily Commercial,40A,Hanover- Green Water Block 1,100-110 San Antonio St,,L2,Austin,Texas,78701,1,30.265147,"(30.265147, -97.749142)"
ENDEAVOR REG / NORDSTROM L1 #3,Parking,40A,Endeavor Real Estate Group,11501 Alterra Pkwy,,,Austin,Texas,78758,2,30.401656,"(30.401656, -97.720026)"
ENDEAVOR REG / ENDEAVOR STAT1,Parking,40A,Endeavor Real Estate Group,2021 E 4th St,,,Austin,Texas,78702,2,30.259477,"(30.259477, -97.720197)"
PIE AE / PUBACCSOAUSTIN2,Education,40A,AUSTIN ENERGY,5517 Manchaca Rd,,,Austin,Texas,78745,2,30.216052,"(30.216052, -97.796295)"
SOLARWINDS / SOLARWINDS #1,Workplace,40A,"HPI Real Estate Management, Inc",7171 Southwest Parkway,P400 Garage,2nd,Austin,Texas,78735,2,30.251073,"(30.251073, -97.86319)"
4THANDCHARGE / STATION3,Multifamily Commercial,40A,Fourth& Master Condominium Community,1806 E 4th St,,,Austin,Texas,78702,2,30.260703,"(30.260703, -97.7241)"
PIE AE / RUTHERFORDCAMP3,Municipal,40A,AUSTIN ENERGY,8301 Cameron Rd,,,Austin,Texas,78754,2,30.337065,"(30.337065, -97.680709)"
HPI 3700 / EV 4,Workplace,40A,HPI Real Estate Company,3700 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336723,"(30.336723, -97.806259)"
PIE AE / PUBCHASEESCAL1,Retail,40A,AUSTIN ENERGY,4301 Westbank Dr,,,Austin,Texas,78746,2,30.27567,"(30.27567, -97.817127)"
DEVLOPER / TRAMMELLCROW5,Workplace,40A,Trammell Crow- Austin,San Antonio St,2nd street,,Austin,Texas,78701,2,30.265885,"(30.265885, -97.748891)"
PRESIDIUM / LAUREL,Multifamily Commercial,40A,Presidium Group,8312 Fathom Cir,,,Austin,Texas,78750,2,30.436594,"(30.436594, -97.777617)"
CAPMETRO / EVSE 01,Municipal,40A,Capital Metropolitan Transportation Authority,624 N Pleasant Valley Rd,,,Austin,Texas,78702,2,30.259098,"(30.259098, -97.710683)"
AVIATION / 3RD FLOOR,Municipal,40A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,3,Austin,Texas,78719,2,30.21292,"(30.21292, -97.66631)"
PARMER AUSTIN / PIC #1,Workplace,40A,Parmer Innovation Centers-Austin,13011c McCallen Pass,,,Austin,Texas,78753,2,30.411029,"(30.411029, -97.658122)"
PARK PLAZA / STATION2,Multifamily Commercial,40A,Gables Park Plaza,115 Sandra muraida way,,3,Austin,Texas,78703,2,30.267321,"(30.267321, -97.754548)"
ARBORETUM / N CAPITAL TX 1,Retail,40A,OTR & Ohio General Partnership,9442 N Capital of Texas Hwy,,,Austin,Texas,78759,2,30.390246,"(30.390246, -97.74825)"
ENDEAVOR REG / 901 E 6TH ST 2,Workplace,40A,Endeavor Real Estate Group,901 E 6th St,,P1,Austin,Texas,78702,2,30.265007,"(30.265007, -97.733526)"
PIE AE / PUB ACC NRIDGE3,Education,40A,AUSTIN ENERGY,11928 Stonehollow Dr,,,Austin,Texas,78758,2,30.404196,"(30.404196, -97.705734)"
LADERA BEND / GATED GARAGE GW,Workplace,40A,Ladera Bend,7300 Ranch Rd 2222,,,Austin,Texas,78730,2,30.372427,"(30.372427, -97.801834)"
CITY VIEW / STATION2,Workplace,40A,Stream City View,1120 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.283044,"(30.283044, -97.824902)"
1500 ROYAL / ELEMENT AUSTIN,Multifamily Commercial,40A,The Element Austin,1500 Royal Crest Dr,,,Austin,Texas,78741,2,30.240527,"(30.240527, -97.730373)"
HABITAT SUITES / SINGLE PORT,Hospitality,40A,Habitat Suites Hotel,500 E Highland Mall Blvd,,,Austin,Texas,78752,1,30.329076,"(30.329076, -97.709553)"
PIE AE / PUB UTANTONIO 1,Education,40A,AUSTIN ENERGY,2420 San Antonio St,,4,Austin,Texas,78705,2,30.288683,"(30.288683, -97.742575)"
COA FLEET - PIE / RUTHERFORD #4,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335852,"(30.335852, -97.679428)"
PIE AE / PUBHILL.CGAL1,Parking,40A,AUSTIN ENERGY,12901 Hill Country Blvd,,,Bee Cave,Texas,78738,2,30.309283,"(30.309283, -97.94238)"
ROSCOE PROPERTI / TRIO MAIN,Multifamily Commercial,40A,Roscoe Properties,2413-2433 S Pleasant Valley Rd,,,Austin,Texas,78741,2,30.228786,"(30.228786, -97.726326)"
THE GROVE / MAIN STATION 1,Multifamily Commercial,40A,The Grove,3707 Manchaca Rd,,,Austin,Texas,78704,2,30.236473,"(30.236473, -97.782607)"
COA FLEET - PIE / ED BLUE #1,Fleet,40A,US City of Austin Texas,4201 Ed Bluestein Blvd,,,Austin,Texas,78725,2,30.277622,"(30.277622, -97.666313)"
MUELLER MARKET / MUELLER 3,Retail,40A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.301581,"(30.301581, -97.699416)"
AMD GO GREEN / P100 FL4 OUTER,Workplace,40A,AMD,7171 Southwest Pkwy,,,Austin,Texas,78735,2,30.250779,"(30.250779, -97.86175)"
AUSTIN / 400 - 2,Workplace,40A,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,2,30.265052,"(30.265052, -97.74844)"
PEARL LANTANA / STATION 02,Multifamily Commercial,40A,Pearl Lantana,6401 Rialto Blvd,,,Austin,Texas,78735,2,30.24966,"(30.24966, -97.858468)"
GPT / GABLES 1,Multifamily Commercial,40A,Gables Park Tower,898-900 W 3rd St,,,Austin,Texas,78701,2,30.268637,"(30.268637, -97.754851)"
AMD GO GREEN / AMD P100 LG,Parking,40A,AMD,7171 Southwest Pkwy,,100LG,Austin,Texas,78735,2,30.250807,"(30.250807, -97.861761)"
ENDEAVOR REG / VILL WESTLAKE 2,Parking,40A,Endeavor Real Estate Group,701 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.291349,"(30.291349, -97.826317)"
NATIONAL INSTRU / 21&22;,Workplace,40A,National Instruments,11500 N Mopac Expy,,,Austin,Texas,78759,2,30.408382,"(30.408382, -97.726244)"
INT-BIO EV CHGR / INTBIO EV CHGR2,Workplace,40A,INTERNATIONAL BIOMEDICAL,8206 Cross Park Dr,,,Austin,Texas,78754,2,30.330901,"(30.330901, -97.668947)"
BRANDYWINE AUST / FOUR POINTS 01,Multifamily Commercial,40A,Brandywine Properties I Limited Inc.,11305 4 Points Dr,,1,Austin,Texas,78726,2,30.404059,"(30.404059, -97.850068)"
ENDEAVOR REG / STATION2,Workplace,40A,Endeavor Real Estate Group,11001 Lakeline Blvd,,,Austin,Texas,78717,2,30.479702,"(30.479702, -97.793993)"
PIE AE / TACARASR1,Multifamily Commercial,40A,AUSTIN ENERGY,4901 Ranch Rd 620 N,,,Austin,Texas,78732,2,30.385777,"(30.385777, -97.886769)"
PIE AE / PUBHARCON L2,Workplace,40A,AUSTIN ENERGY,6601 Vaught Ranch Rd,,,Austin,Texas,78730,2,30.373046,"(30.373046, -97.806478)"
PIE AE / CONVENTION CTR3,Parking,40A,AUSTIN ENERGY,2nd & Brazos,,,Austin,Texas,78701,2,30.263774,"(30.263774, -97.743466)"
PARK&ZOOM / VALET #5,Parking,40A,Scott Airport Parking LLC,9518 Hotel Dr,,,Austin,Texas,78719,2,30.211668,"(30.211668, -97.661771)"
AUSTIN HQ / STATION 1,Workplace,40A,Texas Parks and Wildlife Department,4200 Smith School Dr,,,Austin,Texas,78744,2,30.192647,"(30.192647, -97.714329)"
ENDEAVOR REG / RED GARAGE #1,Parking,20A,Endeavor Real Estate Group,11501 Domain Dr,,L1,Austin,Texas,78758,2,30.402172,"(30.402172, -97.723338)"
LAMARHEIGHTS-AE / LAMAR 1,Multifamily Commercial,40A,Camden Lamar Heights,5400 N Lamar Blvd,,,Austin,Texas,78751,2,30.322464,"(30.322464, -97.7292)"
